month,business_unit,aws_service,total_cost_usd,waste_amount_usd,optimized_cost,region,environment
2024-01,Finance Automation,EC2 Compute,1281.14,374.09,907.05,us-east-1,production
2024-01,Finance Automation,EKS Cluster,853.6,86.21,767.39,us-west-2,staging
2024-01,Finance Automation,RDS Database,567.67,32.36,535.31,eu-west-1,staging
2024-01,Finance Automation,S3 Storage,180.26,21.63,158.63,us-west-2,production
2024-01,Finance Automation,Lambda,100.96,19.49,81.47,us-west-2,production
2024-01,Finance Automation,Data Transfer,95.83,9.2,86.63,us-west-2,production
2024-01,Finance Automation,CloudWatch,57.88,6.71,51.17,us-west-2,production
2024-01,Finance Automation,Load Balancer,76.81,4.99,71.82,us-east-1,production
2024-01,HR Operations,EC2 Compute,449.51,124.06,325.45,us-west-2,production
2024-01,HR Operations,EKS Cluster,358.98,76.46,282.52,us-west-2,dev
2024-01,HR Operations,RDS Database,230.21,35.22,194.99,us-west-2,production
2024-01,HR Operations,S3 Storage,69.86,7.75,62.11,eu-west-1,staging
2024-01,HR Operations,Lambda,48.33,3.82,44.51,us-west-2,production
2024-01,HR Operations,Data Transfer,59.08,9.28,49.8,us-west-2,production
2024-01,HR Operations,CloudWatch,22.17,3.17,19.0,us-west-2,production
2024-01,HR Operations,Load Balancer,36.8,11.59,25.21,us-west-2,dev
2024-01,Supply Chain,EC2 Compute,811.41,42.19,769.22,us-east-1,staging
2024-01,Supply Chain,EKS Cluster,732.06,213.03,519.03,us-east-1,production
2024-01,Supply Chain,RDS Database,369.41,123.75,245.66,us-east-1,production
2024-01,Supply Chain,S3 Storage,134.29,9.53,124.76,us-west-2,production
2024-01,Supply Chain,Lambda,89.99,30.87,59.12,us-west-2,production
2024-01,Supply Chain,Data Transfer,127.08,36.22,90.86,us-east-1,production
2024-01,Supply Chain,CloudWatch,41.71,9.3,32.41,us-west-2,production
2024-01,Supply Chain,Load Balancer,70.27,6.04,64.23,us-west-2,production
2024-01,Customer Service,EC2 Compute,768.49,268.2,500.29,us-west-2,production
2024-01,Customer Service,EKS Cluster,424.91,127.05,297.86,us-west-2,production
2024-01,Customer Service,RDS Database,303.04,108.19,194.85,us-east-1,production
2024-01,Customer Service,S3 Storage,108.8,36.77,72.03,us-east-1,production
2024-01,Customer Service,Lambda,62.69,19.81,42.88,us-east-1,production
2024-01,Customer Service,Data Transfer,98.95,8.51,90.44,us-west-2,production
