month,business_unit,workflow_name,total_runs,success_rate,avg_runtime_sec,fte_hours_saved,cost_per_run_usd
2024-01,Finance Automation,Invoice Processing,3012,0.9593,49.3,35.1,0.191
2024-01,Finance Automation,GL Reconciliation,4648,0.9632,143.0,156.9,0.1766
2024-01,Finance Automation,Expense Approval,4860,0.9628,66.0,75.7,0.1743
2024-01,Finance Automation,FP&A Reporting,5375,0.9134,139.4,176.9,0.2246
2024-01,HR Operations,Onboarding Automation,4352,0.9553,245.2,252.0,0.0844
2024-01,HR Operations,Payroll Sync,4480,0.9772,45.5,48.1,0.31
2024-01,HR Operations,Benefits Enrollment,4572,0.9902,51.9,56.0,0.1973
2024-01,Supply Chain,PO Processing,3978,0.9934,141.6,133.0,0.3336
2024-01,Supply Chain,Inventory Sync,3136,0.9343,66.5,49.2,0.299
2024-01,Supply Chain,Vendor Matching,4957,0.9429,149.0,174.4,0.2074
2024-01,Supply Chain,Shipment Tracking,4833,0.9934,121.2,138.3,0.3214
2024-01,Customer Service,Ticket Routing,4333,0.975,165.7,169.5,0.3651
2024-01,Customer Service,Refund Processing,4081,0.9826,129.7,125.0,0.328
2024-01,Customer Service,SLA Monitoring,4109,0.9859,28.7,27.8,0.3404
2024-01,IT Infrastructure,Patch Deployment,4556,0.9633,260.3,280.0,0.0465
2024-01,IT Infrastructure,Access Provisioning,2435,0.9505,196.3,112.9,0.2857
2024-01,IT Infrastructure,Incident Response,3736,0.9354,108.1,95.4,0.3135
2024-01,Compliance & Risk,Audit Log Collection,4444,0.9337,68.5,71.9,0.3655
2024-01,Compliance & Risk,SOC2 Evidence Packaging,4771,0.935,15.8,17.8,0.2909
2024-01,Compliance & Risk,GDPR Data Mapping,4507,0.9809,210.4,223.9,0.0886
2024-01,Finance Automation,Invoice Processing,4680,0.966,217.3,240.1,0.3276
2024-01,Finance Automation,GL Reconciliation,4652,0.9622,35.7,39.2,0.2058
2024-01,Finance Automation,Expense Approval,4102,0.9446,29.7,28.8,0.1586
2024-01,Finance Automation,FP&A Reporting,3753,0.9194,228.6,202.6,0.3622
2024-01,HR Operations,Onboarding Automation,3063,0.9165,146.2,105.7,0.3101
2024-01,HR Operations,Payroll Sync,4327,0.9701,25.5,26.1,0.0648
2024-01,HR Operations,Benefits Enrollment,3235,0.9298,87.3,66.7,0.3132
2024-01,Supply Chain,PO Processing,3742,0.989,120.6,106.6,0.3481
2024-01,Supply Chain,Inventory Sync,4041,0.9292,183.6,175.2,0.3729
2024-01,Supply Chain,Vendor Matching,2997,0.9613,107.9,76.4,0.2603
2024-01,Supply Chain,Shipment Tracking,2388,0.9598,179.4,101.2,0.0644
2024-01,Customer Service,Ticket Routing,4310,0.968,76.8,78.2,0.2827
2024-01,Customer Service,Refund Processing,4485,0.957,151.4,160.3,0.0886
2024-01,Customer Service,SLA Monitoring,4503,0.9759,84.7,90.1,0.2089
2024-01,IT Infrastructure,Patch Deployment,3783,0.9635,26.6,23.8,0.2945
2024-01,IT Infrastructure,Access Provisioning,3954,0.937,12.0,11.2,0.2138
2024-01,IT Infrastructure,Incident Response,4003,0.9813,13.0,12.3,0.1239
2024-01,Compliance & Risk,Audit Log Collection,4293,0.973,96.8,98.1,0.0746
2024-01,Compliance & Risk,SOC2 Evidence Packaging,3392,0.9816,96.0,76.9,0.3082
2024-01,Compliance & Risk,GDPR Data Mapping,3708,0.9858,128.3,112.3,0.3494
2024-03,Finance Automation,Invoice Processing,4434,0.9176,196.1,205.3,0.2079
2024-03,Finance Automation,GL Reconciliation,4138,0.943,181.6,177.4,0.2793
2024-03,Finance Automation,Expense Approval,4779,0.9921,216.0,243.7,0.3633
2024-03,Finance Automation,FP&A Reporting,4941,0.9697,91.9,107.2,0.0758
2024-03,HR Operations,Onboarding Automation,4569,0.9141,108.5,117.0,0.3653
2024-03,HR Operations,Payroll Sync,4922,0.9525,128.0,148.8,0.1956
2024-03,HR Operations,Benefits Enrollment,3869,0.9414,26.0,23.8,0.301
2024-03,Supply Chain,PO Processing,3467,0.9454,232.3,190.2,0.3291
2024-03,Supply Chain,Inventory Sync,4573,0.9501,247.9,267.7,0.1134
2024-03,Supply Chain,Vendor Matching,3516,0.9676,174.9,145.2,0.1404
2024-03,Supply Chain,Shipment Tracking,4425,0.9728,96.6,100.9,0.2592
2024-03,Customer Service,Ticket Routing,3658,0.9436,203.1,175.4,0.1077
2024-03,Customer Service,Refund Processing,4002,0.9413,27.6,26.1,0.0779
2024-03,Customer Service,SLA Monitoring,4561,0.9538,83.7,90.1,0.3241
2024-03,IT Infrastructure,Patch Deployment,4062,0.9519,120.3,115.4,0.2205
2024-03,IT Infrastructure,Access Provisioning,3603,0.9606,14.7,12.5,0.1978
2024-03,IT Infrastructure,Incident Response,4213,0.9676,95.6,95.1,0.3032
2024-03,Compliance & Risk,Audit Log Collection,4528,0.9757,151.7,162.2,0.3718
2024-03,Compliance & Risk,SOC2 Evidence Packaging,4603,0.9202,83.2,90.4,0.046
2024-03,Compliance & Risk,GDPR Data Mapping,4555,0.9349,219.2,235.7,0.2161
2024-03,Finance Automation,Invoice Processing,3456,0.9101,92.3,75.3,0.2598
2024-03,Finance Automation,GL Reconciliation,3319,0.9928,239.0,187.3,0.048
2024-03,Finance Automation,Expense Approval,4304,0.9763,134.7,136.9,0.1753
2024-03,Finance Automation,FP&A Reporting,4346,0.9357,29.6,30.4,0.1176
2024-03,HR Operations,Onboarding Automation,4138,0.9735,139.0,135.8,0.0597
2024-03,HR Operations,Payroll Sync,3214,0.9914,264.7,200.9,0.307
2024-03,HR Operations,Benefits Enrollment,4212,0.9918,32.3,32.1,0.1643
